Time,Temperature,Humidity,AirQuality
2024-01-08 16:41:23,27.4,35.6,High
2024-01-08 16:41:25,27.4,35.5,High
2024-01-08 16:41:27,27.4,35.5,High
2024-01-08 16:41:30,27.4,35.6,High
2024-01-08 16:41:34,27.4,35.6,High
2024-01-08 16:41:36,27.4,35.6,High
2024-01-08 16:41:41,27.4,35.6,High
2024-01-08 16:41:43,27.4,35.5,High
2024-01-08 16:41:45,27.4,35.5,High
2024-01-08 16:41:48,27.4,35.5,High
2024-01-08 16:41:50,27.4,35.6,High
2024-01-08 16:41:52,27.4,35.6,High
2024-01-08 16:41:54,27.4,35.6,High
2024-01-08 16:41:57,27.4,35.6,High
2024-01-08 16:41:59,27.4,35.6,High
2024-01-08 16:42:01,27.4,35.5,High
2024-01-08 16:42:04,27.4,35.5,High
2024-01-08 16:42:06,27.4,35.5,High
2024-01-08 16:42:08,27.4,35.5,High
2024-01-08 16:42:10,27.4,35.6,High
2024-01-08 16:42:13,27.4,35.5,High
2024-01-08 16:42:15,27.4,35.5,High
2024-01-08 16:42:17,27.4,35.5,High
2024-01-08 16:42:19,27.4,35.4,High
2024-01-08 16:42:22,27.4,35.5,High
2024-01-08 16:42:24,27.4,35.5,High
2024-01-08 16:42:26,27.4,35.5,High
2024-01-08 16:42:31,27.4,35.5,High
2024-01-08 16:42:33,27.4,35.6,High
2024-01-08 16:42:35,27.4,35.5,High
2024-01-08 16:42:37,27.4,35.5,High
2024-01-08 16:42:40,27.4,35.5,High
2024-01-08 16:42:42,27.4,35.4,High
2024-01-08 16:42:44,27.4,35.4,High
2024-01-08 16:42:49,27.4,35.5,High
2024-01-08 16:42:51,27.4,35.5,High
2024-01-08 16:42:53,27.4,35.5,High
2024-01-08 16:42:55,27.4,35.5,High
2024-01-08 16:42:58,27.4,35.5,High
2024-01-08 16:43:00,27.4,35.5,High
2024-01-08 16:43:02,27.4,35.4,High
2024-01-08 16:43:04,27.4,35.5,High
2024-01-08 16:43:07,27.4,35.4,High
2024-01-08 16:43:09,27.4,35.4,High
2024-01-08 16:43:11,27.4,35.5,High
2024-01-08 16:43:14,27.4,35.5,High
2024-01-08 16:43:18,27.4,35.4,High
2024-01-08 16:43:20,27.4,35.4,High
2024-01-08 16:43:23,27.4,35.5,High
2024-01-08 16:43:25,27.4,35.5,High
2024-01-08 16:43:29,27.4,35.4,High
2024-01-08 16:43:32,27.4,35.3,High
2024-01-08 16:43:36,27.4,35.4,High
2024-01-08 16:43:41,27.4,35.5,High
2024-01-08 16:43:43,27.4,35.4,High
2024-01-08 16:43:45,27.4,35.4,High
2024-01-08 16:43:50,27.4,35.4,High
2024-01-08 16:43:52,27.4,35.4,High
2024-01-08 16:43:54,27.4,35.4,High
2024-01-08 16:43:56,27.4,35.4,High
2024-01-08 16:43:59,27.4,35.4,High
2024-01-08 16:44:01,27.4,35.4,High
2024-01-08 16:44:03,27.4,35.4,High
2024-01-08 16:44:05,27.4,35.5,High
2024-01-08 16:44:08,27.4,35.5,High
2024-01-08 16:44:10,27.4,35.5,High
2024-01-08 16:44:12,27.4,35.5,High
2024-01-08 16:44:17,27.4,35.5,High
2024-01-08 16:44:21,27.4,35.5,High
